knife,img,match,band,correlation
E27:E27,5,match,5-10,0.916345636154131
E27:E27,6,match,5-10,0.869800249466365
E27:E27,7,match,5-10,0.945714727406574
E27:E27,8,match,5-10,0.927358899619546
E27:E27,9,match,5-10,0.93029903620301
E24:E24,1,match,5-10,0.93011006246656
E24:E24,2,match,5-10,0.861523810379491
E24:E24,3,match,5-10,0.647435192137782
E24:E24,4,match,5-10,0.876839101573348
E24:E24,5,match,5-10,0.871009459638073
E24:E24,6,match,5-10,0.892129251779767
E24:E24,7,match,5-10,0.919502532971078
E24:E24,8,match,5-10,0.884620257509473
E24:E24,9,match,5-10,0.863888272737471
E10:T10,1,nonmatch,5-10,-0.038026766440396
E10:T10,2,nonmatch,5-10,0.191827408623103
E10:T10,3,nonmatch,5-10,0.065884415276094
E10:T10,4,nonmatch,5-10,-0.097967864041391
E10:T10,5,nonmatch,5-10,-0.000736252622191
E10:T10,6,nonmatch,5-10,-0.112461808860857
E10:T10,7,nonmatch,5-10,-0.208792296733353
E10:T10,8,nonmatch,5-10,-0.241111519375623
E10:T10,9,nonmatch,5-10,0.062658019190944
E10:E48,1,nonmatch,5-10,0.021750120059003
E10:E48,2,nonmatch,5-10,-0.235842261584133
E10:E48,3,nonmatch,5-10,0.218189805805248
E10:E48,4,nonmatch,5-10,0.138844264085375
E10:E48,5,nonmatch,5-10,0.248444909162461
E10:E48,6,nonmatch,5-10,-0.039149048971688
E10:E48,7,nonmatch,5-10,-0.069866501529315
E10:E48,8,nonmatch,5-10,-0.131521723155052
E10:E48,9,nonmatch,5-10,0.170832995997654
E10:E39,1,nonmatch,5-10,0.190138901528404
E10:E39,2,nonmatch,5-10,0.093636699591182
E10:E39,3,nonmatch,5-10,0.166654809223898
E10:E39,4,nonmatch,5-10,0.206686455754076
E10:E39,5,nonmatch,5-10,-0.006838249172089
E10:E39,6,nonmatch,5-10,-0.013926120008698
E10:E39,7,nonmatch,5-10,0.104291152784945
E10:E39,8,nonmatch,5-10,0.041570904532294
E10:E39,9,nonmatch,5-10,0.117090016256243
E10:E36,1,nonmatch,5-10,0.246459905496111
E10:E36,2,nonmatch,5-10,0.1426348659692
E10:E36,3,nonmatch,5-10,-0.078433059055636
E10:E36,4,nonmatch,5-10,-0.072044070216571
E10:E36,5,nonmatch,5-10,-0.012598624844091
E10:E36,6,nonmatch,5-10,-0.181072922352649
E10:E36,7,nonmatch,5-10,-0.290932397814857
E10:E36,8,nonmatch,5-10,-0.333036777874817
E10:E36,9,nonmatch,5-10,-0.150500100711938
E10:E34,1,nonmatch,5-10,-0.00939747442128
E10:E34,2,nonmatch,5-10,0.441343749069432
E10:E34,3,nonmatch,5-10,-0.099697433731614
E10:E34,4,nonmatch,5-10,0.185479521468088
E10:E34,5,nonmatch,5-10,0.048592522107107
E10:E34,6,nonmatch,5-10,-0.216206477670131
E10:E34,7,nonmatch,5-10,-0.26872309454408
E10:E34,8,nonmatch,5-10,-0.227323240231285
E10:E34,9,nonmatch,5-10,-0.313476754836988
E10:E28,1,nonmatch,5-10,0.371584548580119
E10:E28,2,nonmatch,5-10,0.176093866834604
E10:E28,3,nonmatch,5-10,0.466108696361654
E10:E28,4,nonmatch,5-10,0.548081560808243
E10:E28,5,nonmatch,5-10,0.153721313906313
E10:E28,6,nonmatch,5-10,0.092006988288501
E10:E28,7,nonmatch,5-10,0.305196915361281
E10:E28,8,nonmatch,5-10,0.23993158882309
E10:E28,9,nonmatch,5-10,0.335994222290843
E10:E27,1,nonmatch,5-10,-0.021657003433071
E10:E27,2,nonmatch,5-10,0.02175635831423
E10:E27,3,nonmatch,5-10,0.07184510294288
E10:E27,4,nonmatch,5-10,-0.07164486886567
E10:E27,5,nonmatch,5-10,-0.039399098151994
E10:E27,6,nonmatch,5-10,-0.185959130822493
E10:E27,7,nonmatch,5-10,-0.193406852018419
E10:E27,8,nonmatch,5-10,-0.025449061930817
E10:E27,9,nonmatch,5-10,0.029454884768756
E10:E24,1,nonmatch,5-10,-0.378713811637013
E10:E24,2,nonmatch,5-10,0.109041051953702
E10:E24,3,nonmatch,5-10,0.185446383874442
E10:E24,4,nonmatch,5-10,0.261294577178504
E10:E24,5,nonmatch,5-10,0.13951117984338
E10:E24,6,nonmatch,5-10,0.137847257547382
E10:E24,7,nonmatch,5-10,0.278244786307017
E10:E24,8,nonmatch,5-10,0.271405977084205
E10:E24,9,nonmatch,5-10,0.179898592885455
T10:E10,1,nonmatch,5-10,0.031594943645947
T10:E10,2,nonmatch,5-10,0.075073272750161
T10:E10,3,nonmatch,5-10,0.179439943929811
T10:E10,4,nonmatch,5-10,0.031933913359704
T10:E10,5,nonmatch,5-10,0.189777428796608
T10:E10,6,nonmatch,5-10,0.080366086680379
T10:E10,7,nonmatch,5-10,-0.261989747345483
T10:E10,8,nonmatch,5-10,-0.178258172841527
T10:E10,9,nonmatch,5-10,-0.127117680046505
T10:E48,1,nonmatch,5-10,0.015298705627446
T10:E48,2,nonmatch,5-10,0.028151545259467
T10:E48,3,nonmatch,5-10,0.153818299840892
T10:E48,4,nonmatch,5-10,0.319250050827611
T10:E48,5,nonmatch,5-10,0.358952215043049
T10:E48,6,nonmatch,5-10,0.352802666524182
T10:E48,7,nonmatch,5-10,0.47888612294402
T10:E48,8,nonmatch,5-10,0.144841121696318
T10:E48,9,nonmatch,5-10,0.187676272522836
T10:E39,1,nonmatch,5-10,0.003134732316222
T10:E39,2,nonmatch,5-10,-0.242484656342246
T10:E39,3,nonmatch,5-10,-0.249673784475012
T10:E39,4,nonmatch,5-10,-0.06942576076965
T10:E39,5,nonmatch,5-10,-0.068495043975127
T10:E39,6,nonmatch,5-10,-0.045156309272322
T10:E39,7,nonmatch,5-10,-0.069419683096565
T10:E39,8,nonmatch,5-10,-0.164520534463483
T10:E39,9,nonmatch,5-10,-0.100332298046941
T10:E36,1,nonmatch,5-10,0.254141852857671
T10:E36,2,nonmatch,5-10,-0.146491552877268
T10:E36,3,nonmatch,5-10,0.163601479620891
T10:E36,4,nonmatch,5-10,0.121505230666458
T10:E36,5,nonmatch,5-10,0.086990651883478
T10:E36,6,nonmatch,5-10,0.50712056849506
T10:E36,7,nonmatch,5-10,0.661440144560005
T10:E36,8,nonmatch,5-10,0.497979815866282
T10:E36,9,nonmatch,5-10,0.303170759503585
T10:E34,1,nonmatch,5-10,0.136788023491251
T10:E34,2,nonmatch,5-10,0.0571211638591
T10:E34,3,nonmatch,5-10,0.280166161860509
T10:E34,4,nonmatch,5-10,0.073605842876135
T10:E34,5,nonmatch,5-10,-0.320586066238333
T10:E34,6,nonmatch,5-10,0.368728048163331
T10:E34,7,nonmatch,5-10,0.224990411188339
T10:E34,8,nonmatch,5-10,0.207209788538459
T10:E34,9,nonmatch,5-10,0.394050518895418
T10:E28,1,nonmatch,5-10,0.223289986748692
T10:E28,2,nonmatch,5-10,0.300721710138271
T10:E28,3,nonmatch,5-10,0.112399729979752
T10:E28,4,nonmatch,5-10,0.131832804674632
T10:E28,5,nonmatch,5-10,-0.064484102256254
T10:E28,6,nonmatch,5-10,0.000378873115184
T10:E28,7,nonmatch,5-10,0.270045982409301
T10:E28,8,nonmatch,5-10,0.110905648870988
T10:E28,9,nonmatch,5-10,0.033791726795489
T10:E27,1,nonmatch,5-10,-0.044516331867468
T10:E27,2,nonmatch,5-10,0.226690176521865
T10:E27,3,nonmatch,5-10,0.371794817424128
T10:E27,4,nonmatch,5-10,0.196792929257274
T10:E27,5,nonmatch,5-10,0.137205437805292
T10:E27,6,nonmatch,5-10,0.289943220560429
T10:E27,7,nonmatch,5-10,0.30896816730748
T10:E27,8,nonmatch,5-10,0.246918307837201
T10:E27,9,nonmatch,5-10,0.313333346898628
T10:E24,1,nonmatch,5-10,0.197378793973371
T10:E24,2,nonmatch,5-10,0.215869359939223
T10:E24,3,nonmatch,5-10,0.187887194169008
T10:E24,4,nonmatch,5-10,0.269516623097374
T10:E24,5,nonmatch,5-10,0.047494215045697
T10:E24,6,nonmatch,5-10,0.064850540439661
T10:E24,7,nonmatch,5-10,0.216983756239769
T10:E24,8,nonmatch,5-10,0.157958419951818
T10:E24,9,nonmatch,5-10,0.444431309575488
E48:E10,1,nonmatch,5-10,0.152865667005343
E48:E10,2,nonmatch,5-10,-0.102250899214741
E48:E10,3,nonmatch,5-10,0.306302343640534
E48:E10,4,nonmatch,5-10,0.138842913074626
E48:E10,5,nonmatch,5-10,0.251300202889062
E48:E10,6,nonmatch,5-10,-0.020042636701671
E48:E10,7,nonmatch,5-10,-0.06790217275283
E48:E10,8,nonmatch,5-10,-0.106065311430969
E48:E10,9,nonmatch,5-10,0.173679812962093
E48:T10,1,nonmatch,5-10,0.213138785210318
E48:T10,2,nonmatch,5-10,-0.036979897177519
E48:T10,3,nonmatch,5-10,-0.120178756123424
E48:T10,4,nonmatch,5-10,0.060442874160362
E48:T10,5,nonmatch,5-10,0.247859923498053
E48:T10,6,nonmatch,5-10,0.254649315988976
E48:T10,7,nonmatch,5-10,0.197946646818812
E48:T10,8,nonmatch,5-10,-0.113733440437693
E48:T10,9,nonmatch,5-10,0.26679850235886
E48:E39,1,nonmatch,5-10,0.019316399377555
E48:E39,2,nonmatch,5-10,0.054056698457326
E48:E39,3,nonmatch,5-10,-0.339355652233867
E48:E39,4,nonmatch,5-10,-0.220939518805773
E48:E39,5,nonmatch,5-10,-0.13208250507718
E48:E39,6,nonmatch,5-10,0.026535742338984
E48:E39,7,nonmatch,5-10,0.046742426400635
E48:E39,8,nonmatch,5-10,0.196596305749385
E48:E39,9,nonmatch,5-10,0.295028367876032
E48:E36,1,nonmatch,5-10,0.144673978096443
E48:E36,2,nonmatch,5-10,0.284188017495036
E48:E36,3,nonmatch,5-10,0.299404796989358
E48:E36,4,nonmatch,5-10,0.500775424764329
E48:E36,5,nonmatch,5-10,0.199798139662293
E48:E36,6,nonmatch,5-10,0.492105053734546
E48:E36,7,nonmatch,5-10,0.507221527110015
E48:E36,8,nonmatch,5-10,0.547877254261477
E48:E36,9,nonmatch,5-10,0.425919369870083
E48:E34,1,nonmatch,5-10,-0.013841650870304
E48:E34,2,nonmatch,5-10,-0.082760004867182
E48:E34,3,nonmatch,5-10,0.109313755051028
E48:E34,4,nonmatch,5-10,0.349828626017094
E48:E34,5,nonmatch,5-10,0.251417515800854
E48:E34,6,nonmatch,5-10,0.568005606923782
E48:E34,7,nonmatch,5-10,0.32139174616095
E48:E34,8,nonmatch,5-10,0.060373379526773
E48:E34,9,nonmatch,5-10,0.116306481986753
E48:E28,1,nonmatch,5-10,0.119108097649606
E48:E28,2,nonmatch,5-10,-0.100789956580284
E48:E28,3,nonmatch,5-10,0.042550838708854
E48:E28,4,nonmatch,5-10,0.003583307258535
E48:E28,5,nonmatch,5-10,-0.037255655337293
E48:E28,6,nonmatch,5-10,0.186486230555524
E48:E28,7,nonmatch,5-10,0.269088090326021
E48:E28,8,nonmatch,5-10,0.154615771818846
E48:E28,9,nonmatch,5-10,0.4946549791756
E48:E27,1,nonmatch,5-10,0.504793450614014
E48:E27,2,nonmatch,5-10,0.334724704332572
E48:E27,3,nonmatch,5-10,0.446420182452609
E48:E27,4,nonmatch,5-10,0.373669086987312
E48:E27,5,nonmatch,5-10,0.068794686971759
E48:E27,6,nonmatch,5-10,0.034084141956064
E48:E27,7,nonmatch,5-10,0.315597924945171
E48:E27,8,nonmatch,5-10,0.390496621115457
E48:E27,9,nonmatch,5-10,0.419463559547882
E48:E24,1,nonmatch,5-10,0.192406387870567
E48:E24,2,nonmatch,5-10,0.033646715895907
E48:E24,3,nonmatch,5-10,0.198644167023316
E48:E24,4,nonmatch,5-10,0.143705602797451
E48:E24,5,nonmatch,5-10,-0.063185157417451
E48:E24,6,nonmatch,5-10,-0.164417342345059
E48:E24,7,nonmatch,5-10,0.140644249774367
E48:E24,8,nonmatch,5-10,0.112501799673403
E48:E24,9,nonmatch,5-10,0.25842924452436
E39:E10,1,nonmatch,5-10,0.258473589980033
E39:E10,2,nonmatch,5-10,0.181661706592933
E39:E10,3,nonmatch,5-10,0.02323201396175
E39:E10,4,nonmatch,5-10,0.13378167085615
E39:E10,5,nonmatch,5-10,-0.018188760191695
E39:E10,6,nonmatch,5-10,-0.077481798878874
E39:E10,7,nonmatch,5-10,0.096053481867534
E39:E10,8,nonmatch,5-10,-0.006937989937705
E39:E10,9,nonmatch,5-10,0.166690902972706
E39:T10,1,nonmatch,5-10,0.076880476846055
E39:T10,2,nonmatch,5-10,-0.242187425680364
E39:T10,3,nonmatch,5-10,-0.037003291705699
E39:T10,4,nonmatch,5-10,0.030149594305009
E39:T10,5,nonmatch,5-10,-0.080864584462846
E39:T10,6,nonmatch,5-10,-0.156945560316121
E39:T10,7,nonmatch,5-10,-0.101230892135509
E39:T10,8,nonmatch,5-10,-0.063959373838511
E39:T10,9,nonmatch,5-10,0.079449782101283
E39:E48,1,nonmatch,5-10,0.087377235812028
E39:E48,2,nonmatch,5-10,0.012602142511122
E39:E48,3,nonmatch,5-10,-0.061366746397874
E39:E48,4,nonmatch,5-10,-0.137562611294151
E39:E48,5,nonmatch,5-10,-0.211152004349698
E39:E48,6,nonmatch,5-10,-0.01220690223634
E39:E48,7,nonmatch,5-10,0.074919477542412
E39:E48,8,nonmatch,5-10,0.08664563499095
E39:E48,9,nonmatch,5-10,0.254761638821759
E39:E36,1,nonmatch,5-10,0.035539627143445
E39:E36,2,nonmatch,5-10,-0.031298687193445
E39:E36,3,nonmatch,5-10,-0.016290446941905
E39:E36,4,nonmatch,5-10,-0.144920918314123
E39:E36,5,nonmatch,5-10,0.202154569053272
E39:E36,6,nonmatch,5-10,0.011447099546639
E39:E36,7,nonmatch,5-10,-0.042035194011376
E39:E36,8,nonmatch,5-10,-0.033648016157098
E39:E36,9,nonmatch,5-10,0.247852965732428
E39:E34,1,nonmatch,5-10,-0.087716456088035
E39:E34,2,nonmatch,5-10,0.151605837999465
E39:E34,3,nonmatch,5-10,-0.035200955616192
E39:E34,4,nonmatch,5-10,-0.355743797355172
E39:E34,5,nonmatch,5-10,0.061446223211203
E39:E34,6,nonmatch,5-10,0.046707952674921
E39:E34,7,nonmatch,5-10,-0.019846960609199
E39:E34,8,nonmatch,5-10,0.329815586437259
E39:E34,9,nonmatch,5-10,-0.052537428230913
E39:E28,1,nonmatch,5-10,0.292445298059959
E39:E28,2,nonmatch,5-10,0.247382114037955
E39:E28,3,nonmatch,5-10,-0.044166748960549
E39:E28,4,nonmatch,5-10,0.341258077636648
E39:E28,5,nonmatch,5-10,0.520075721634345
E39:E28,6,nonmatch,5-10,0.447618712052695
E39:E28,7,nonmatch,5-10,0.552548944578545
E39:E28,8,nonmatch,5-10,0.379137947787693
E39:E28,9,nonmatch,5-10,0.336824753220446
E39:E27,1,nonmatch,5-10,-0.161201128977117
E39:E27,2,nonmatch,5-10,-0.207422326878517
E39:E27,3,nonmatch,5-10,-0.019362130779577
E39:E27,4,nonmatch,5-10,-0.219288568659681
E39:E27,5,nonmatch,5-10,0.375534946721924
E39:E27,6,nonmatch,5-10,0.104812973057398
E39:E27,7,nonmatch,5-10,0.031733542707508
E39:E27,8,nonmatch,5-10,0.273793528850856
E39:E27,9,nonmatch,5-10,0.234631806755784
E39:E24,1,nonmatch,5-10,-0.138633696235936
E39:E24,2,nonmatch,5-10,-0.040879255287005
E39:E24,3,nonmatch,5-10,0.068576347119014
E39:E24,4,nonmatch,5-10,0.367883031384664
E39:E24,5,nonmatch,5-10,0.388367757432188
E39:E24,6,nonmatch,5-10,0.506855286913355
E39:E24,7,nonmatch,5-10,0.210315977658809
E39:E24,8,nonmatch,5-10,-0.253399000398966
E39:E24,9,nonmatch,5-10,-0.392301187759138
E36:E10,1,nonmatch,5-10,0.193959215022222
E36:E10,2,nonmatch,5-10,0.117372405148194
E36:E10,3,nonmatch,5-10,-0.057664701753017
E36:E10,4,nonmatch,5-10,-0.116269551740657
E36:E10,5,nonmatch,5-10,-0.014111295877109
E36:E10,6,nonmatch,5-10,-0.168308700490108
E36:E10,7,nonmatch,5-10,-0.263748360202761
E36:E10,8,nonmatch,5-10,-0.272201661640018
E36:E10,9,nonmatch,5-10,-0.163467851687303
E36:T10,1,nonmatch,5-10,0.345409088305135
E36:T10,2,nonmatch,5-10,-0.049720972916118
E36:T10,3,nonmatch,5-10,0.097440360760201
E36:T10,4,nonmatch,5-10,0.019229724315396
E36:T10,5,nonmatch,5-10,0.121618881123537
E36:T10,6,nonmatch,5-10,0.280990527270819
E36:T10,7,nonmatch,5-10,0.264872739091802
E36:T10,8,nonmatch,5-10,0.403357285249071
E36:T10,9,nonmatch,5-10,0.410116738220286
E36:E48,1,nonmatch,5-10,0.193537623181318
E36:E48,2,nonmatch,5-10,0.355127699634247
E36:E48,3,nonmatch,5-10,0.252075696011553
E36:E48,4,nonmatch,5-10,0.464099225775274
E36:E48,5,nonmatch,5-10,0.16231772669367
E36:E48,6,nonmatch,5-10,0.538435272348491
E36:E48,7,nonmatch,5-10,0.41387564745354
E36:E48,8,nonmatch,5-10,0.345865616187019
E36:E48,9,nonmatch,5-10,0.42382422118862
E36:E39,1,nonmatch,5-10,0.003876785488423
E36:E39,2,nonmatch,5-10,-0.164370631081467
E36:E39,3,nonmatch,5-10,-0.050268175110798
E36:E39,4,nonmatch,5-10,-0.126143536230234
E36:E39,5,nonmatch,5-10,0.159945870050413
E36:E39,6,nonmatch,5-10,0.005524199797846
E36:E39,7,nonmatch,5-10,-0.11496674705738
E36:E39,8,nonmatch,5-10,-0.135354001400832
E36:E39,9,nonmatch,5-10,0.358142574432503
E36:E34,1,nonmatch,5-10,0.507520857894839
E36:E34,2,nonmatch,5-10,0.358411084130365
E36:E34,3,nonmatch,5-10,0.384472790020278
E36:E34,4,nonmatch,5-10,0.542823747923847
E36:E34,5,nonmatch,5-10,0.39176586231209
E36:E34,6,nonmatch,5-10,0.452196170550508
E36:E34,7,nonmatch,5-10,0.120324675524091
E36:E34,8,nonmatch,5-10,0.081401961033855
E36:E34,9,nonmatch,5-10,0.401306073665288
E36:E28,1,nonmatch,5-10,0.265883846380008
E36:E28,2,nonmatch,5-10,0.039753621653538
E36:E28,3,nonmatch,5-10,-0.037687739905368
E36:E28,4,nonmatch,5-10,-0.040203837874483
E36:E28,5,nonmatch,5-10,0.185932365618088
E36:E28,6,nonmatch,5-10,0.007639579922057
E36:E28,7,nonmatch,5-10,0.114721607234581
E36:E28,8,nonmatch,5-10,0.220927657664913
E36:E28,9,nonmatch,5-10,0.312991979891274
E36:E27,1,nonmatch,5-10,0.006685789713924
E36:E27,2,nonmatch,5-10,0.557528163865954
E36:E27,3,nonmatch,5-10,0.501796459786001
E36:E27,4,nonmatch,5-10,0.503426593284076
E36:E27,5,nonmatch,5-10,0.07541178179565
E36:E27,6,nonmatch,5-10,0.277272012597821
E36:E27,7,nonmatch,5-10,0.465374349871656
E36:E27,8,nonmatch,5-10,0.327646710290939
E36:E27,9,nonmatch,5-10,0.538661830071033
E36:E24,1,nonmatch,5-10,0.305424602200976
E36:E24,2,nonmatch,5-10,0.220988822414902
E36:E24,3,nonmatch,5-10,0.202715053329879
E36:E24,4,nonmatch,5-10,0.447545046750105
E36:E24,5,nonmatch,5-10,0.298425039015872
E36:E24,6,nonmatch,5-10,0.118516136140753
E36:E24,7,nonmatch,5-10,0.193673671932927
E36:E24,8,nonmatch,5-10,0.406783837321496
E36:E24,9,nonmatch,5-10,0.125928662305153
E34:E10,1,nonmatch,5-10,-0.069000626291001
E34:E10,2,nonmatch,5-10,0.545682883263375
E34:E10,3,nonmatch,5-10,-0.233683174035711
E34:E10,4,nonmatch,5-10,0.181946063476656
E34:E10,5,nonmatch,5-10,-0.133592154514118
E34:E10,6,nonmatch,5-10,-0.202136703364885
E34:E10,7,nonmatch,5-10,-0.203332096290239
E34:E10,8,nonmatch,5-10,-0.213435091109306
E34:E10,9,nonmatch,5-10,-0.269526352918202
E34:T10,1,nonmatch,5-10,0.127439857682257
E34:T10,2,nonmatch,5-10,0.01594409031464
E34:T10,3,nonmatch,5-10,0.20284899241001
E34:T10,4,nonmatch,5-10,-0.0692917823984
E34:T10,5,nonmatch,5-10,-0.063152801251036
E34:T10,6,nonmatch,5-10,0.156861022672069
E34:T10,7,nonmatch,5-10,0.191544056327705
E34:T10,8,nonmatch,5-10,0.450041422279609
E34:T10,9,nonmatch,5-10,0.12504131123041
E34:E48,1,nonmatch,5-10,0.052018717243323
E34:E48,2,nonmatch,5-10,0.102738452025259
E34:E48,3,nonmatch,5-10,0.073480283891441
E34:E48,4,nonmatch,5-10,0.177792440233636
E34:E48,5,nonmatch,5-10,0.206043659312167
E34:E48,6,nonmatch,5-10,0.551092230075803
E34:E48,7,nonmatch,5-10,0.277504074726096
E34:E48,8,nonmatch,5-10,-0.074423639959472
E34:E48,9,nonmatch,5-10,0.143628891671292
E34:E39,1,nonmatch,5-10,0.082076564293795
E34:E39,2,nonmatch,5-10,-0.011467749502111
E34:E39,3,nonmatch,5-10,-0.077925865930392
E34:E39,4,nonmatch,5-10,-0.279759549952624
E34:E39,5,nonmatch,5-10,0.034572691344828
E34:E39,6,nonmatch,5-10,0.284980344087101
E34:E39,7,nonmatch,5-10,0.113547835114274
E34:E39,8,nonmatch,5-10,0.150026834608864
E34:E39,9,nonmatch,5-10,-0.132347068934767
E34:E36,1,nonmatch,5-10,0.459645480409315
E34:E36,2,nonmatch,5-10,0.364592481969894
E34:E36,3,nonmatch,5-10,0.496177094577067
E34:E36,4,nonmatch,5-10,0.525687597416804
E34:E36,5,nonmatch,5-10,0.422214403768378
E34:E36,6,nonmatch,5-10,0.440969361699069
E34:E36,7,nonmatch,5-10,0.203289439675529
E34:E36,8,nonmatch,5-10,0.012511043810177
E34:E36,9,nonmatch,5-10,0.19624831821552
E34:E28,1,nonmatch,5-10,0.091127310677226
E34:E28,2,nonmatch,5-10,0.251793210971694
E34:E28,3,nonmatch,5-10,0.049862527714803
E34:E28,4,nonmatch,5-10,0.023365962385232
E34:E28,5,nonmatch,5-10,0.007909631499796
E34:E28,6,nonmatch,5-10,0.369765580343587
E34:E28,7,nonmatch,5-10,0.063244670370099
E34:E28,8,nonmatch,5-10,0.272369127852364
E34:E28,9,nonmatch,5-10,0.136147489277904
E34:E27,1,nonmatch,5-10,0.030207671806275
E34:E27,2,nonmatch,5-10,0.127559633546374
E34:E27,3,nonmatch,5-10,0.355920367904704
E34:E27,4,nonmatch,5-10,0.316855838279202
E34:E27,5,nonmatch,5-10,0.090219017386352
E34:E27,6,nonmatch,5-10,0.11616725730266
E34:E27,7,nonmatch,5-10,-0.064551328682906
E34:E27,8,nonmatch,5-10,0.260547346023079
E34:E27,9,nonmatch,5-10,0.203690018152491
E34:E24,1,nonmatch,5-10,0.431687080080002
E34:E24,2,nonmatch,5-10,0.458508107184376
E34:E24,3,nonmatch,5-10,0.474121003986298
E34:E24,4,nonmatch,5-10,0.304313895349937
E34:E24,5,nonmatch,5-10,0.314888224039906
E34:E24,6,nonmatch,5-10,0.064945160683576
E34:E24,7,nonmatch,5-10,-0.079111427635319
E34:E24,8,nonmatch,5-10,-0.151539274189139
E34:E24,9,nonmatch,5-10,0.252861835667677
E28:E10,1,nonmatch,5-10,0.272999758082446
E28:E10,2,nonmatch,5-10,0.189264436348156
E28:E10,3,nonmatch,5-10,0.434243966797971
E28:E10,4,nonmatch,5-10,0.521470102243026
E28:E10,5,nonmatch,5-10,0.193305907287291
E28:E10,6,nonmatch,5-10,0.157216652174468
E28:E10,7,nonmatch,5-10,0.372247516148997
E28:E10,8,nonmatch,5-10,0.412339406353177
E28:E10,9,nonmatch,5-10,0.242915061862675
E28:T10,1,nonmatch,5-10,0.212016668143223
E28:T10,2,nonmatch,5-10,0.185925059564038
E28:T10,3,nonmatch,5-10,0.025089276268588
E28:T10,4,nonmatch,5-10,0.093744910881406
E28:T10,5,nonmatch,5-10,-0.102132779669205
E28:T10,6,nonmatch,5-10,-0.099689158568825
E28:T10,7,nonmatch,5-10,0.002521838992088
E28:T10,8,nonmatch,5-10,0.207415886936062
E28:T10,9,nonmatch,5-10,0.250941556177324
E28:E48,1,nonmatch,5-10,-0.123629223500658
E28:E48,2,nonmatch,5-10,-0.168955588881519
E28:E48,3,nonmatch,5-10,-0.007369866551063
E28:E48,4,nonmatch,5-10,-0.126849087167552
E28:E48,5,nonmatch,5-10,-0.023528513707923
E28:E48,6,nonmatch,5-10,0.18119617913652
E28:E48,7,nonmatch,5-10,0.190657210728346
E28:E48,8,nonmatch,5-10,0.068405650814245
E28:E48,9,nonmatch,5-10,0.231200329142755
E28:E39,1,nonmatch,5-10,0.233658407472366
E28:E39,2,nonmatch,5-10,0.249985398942188
E28:E39,3,nonmatch,5-10,0.11787086946807
E28:E39,4,nonmatch,5-10,0.45177208678454
